,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
265,Jericho Sims,MIL,52,11.9,34,18,0.2,0.3,2.4,1.1,2.0,53.3
266,Jesse Edwards,MIN,2,2.3,2,0,0.0,0.0,0.0,0.5,0.5,100
267,Jett Howard,ORL,56,11.2,26,30,0.2,0.2,0.8,0.7,0.8,82.2
268,Jevon Carter,CHI,31,7.5,10,21,0.3,0.1,0.9,0.4,0.5,86.7
269,Jimmy Butler III,GSW,43,31.3,28,15,1.2,0.4,3.3,2.0,2.8,70.0
270,Jock Landale,HOU,35,10.8,22,13,0.2,0.3,1.8,1.5,2.2,66.7
271,Joe Ingles,MIN,19,6.0,12,7,0.1,0.0,0.5,0.2,0.2,100
272,Joel Embiid,PHI,19,30.2,8,11,0.7,0.9,6.3,3.2,5.2,61.2
273,John Collins,UTA,39,30.6,12,27,1.0,1.0,5.9,2.4,3.7,64.1
274,John Konchar,MEM,39,12.4,23,16,0.5,0.4,2.5,1.0,1.5,66.7
275,Johnny Davis,WAS,34,7.1,4,30,0.4,0.2,0.8,0.1,0.5,31.3
276,Johnny Furphy,IND,41,6.7,24,17,0.3,0.2,0.8,0.8,0.9,84.2
277,Johnny Juzang,UTA,54,18.6,14,40,0.5,0.1,2.2,1.6,2.2,73.9
278,Jonas Valančiūnas,SAC,69,20.0,18,51,0.5,0.7,5.7,2.7,3.9,68.0
279,Jonathan Isaac,ORL,61,15.7,28,33,0.9,1.1,2.8,1.2,2.5,48.4
280,Jonathan Kuminga,GSW,38,25.5,22,16,0.9,0.5,3.4,1.5,2.4,64.4
281,Jonathan Mogbo,TOR,52,18.4,12,40,0.8,0.5,2.7,1.7,2.6,65.7
282,Jordan Clarkson,UTA,37,26.0,10,27,0.8,0.2,2.5,1.8,2.5,70.7
283,Jordan Goodwin,LAL,16,22.0,10,6,1.3,0.6,2.8,2.5,2.9,85.1
284,Jordan Hawkins,NOP,53,23.4,17,36,0.6,0.4,2.4,2.1,2.9,72.4
285,Jordan McLaughlin,SAS,37,6.1,15,22,0.4,0.0,0.5,0.2,0.3,81.8
286,Jordan Miller,LAC,33,12.0,18,15,0.5,0.1,1.0,1.2,1.4,85.1
287,Jordan Poole,WAS,59,30.2,12,47,1.3,0.4,2.7,1.4,1.8,78.0
288,Jordan Walsh,BOS,43,7.9,32,11,0.2,0.2,0.8,0.5,0.9,52.5
289,Jose Alvarado,NOP,47,23.9,17,30,1.3,0.3,1.9,0.9,1.2,75.0
290,Josh Christopher,MIA,8,3.4,4,4,0.0,0.1,0.4,0.0,0.0,0.0
291,Josh Giddey,CHI,61,29.6,26,35,1.2,0.6,5.9,2.4,3.4,70.0
292,Josh Green,CHA,63,28.3,15,48,1.1,0.2,1.7,1.0,1.4,75.0
293,Josh Hart,NYK,67,37.7,42,25,1.5,0.4,7.5,3.4,4.8,71.1
294,Josh Minott,MIN,40,6.3,27,13,0.4,0.3,0.8,0.3,0.4,68.8
295,Josh Okogie,CHA,32,15.6,11,21,1.3,0.5,1.7,1.0,1.5,68.1
296,Josh Richardson,MIA,8,18.7,4,4,1.0,0.1,0.8,1.0,1.0,100
297,Jrue Holiday,BOS,53,30.5,38,15,1.1,0.5,3.1,1.5,2.1,70.8
298,Julian Champagnie,SAS,70,23.1,31,39,0.8,0.4,2.9,1.9,2.8,69.4
299,Julian Phillips,CHI,68,14.2,29,39,0.5,0.3,1.2,1.3,1.8,73.1
300,Julian Strawther,DEN,61,22.1,39,22,0.6,0.2,1.9,1.1,1.6,70.0
301,Julius Randle,MIN,59,32.1,36,23,0.7,0.2,4.8,2.4,3.6,67.0
302,Justin Champagnie,WAS,49,19.9,12,37,1.0,0.6,3.5,1.3,2.1,62.5
303,Justin Edwards,PHI,37,25.6,11,26,0.8,0.4,2.1,1.8,2.4,73.9
304,Justin Minaya,POR,10,2.5,4,6,0.1,0.0,0.2,0.3,0.6,50.0
305,Jusuf Nurkić,CHA,41,21.0,17,24,0.9,0.6,6.4,2.7,4.3,61.8
306,KJ Martin,UTA,38,21.1,11,27,0.4,0.6,2.3,1.1,2.2,50.0
307,KJ Simpson,CHA,25,21.0,2,23,0.8,0.2,1.6,1.2,1.4,80.6
308,Kai Jones,DAL,31,9.4,16,15,0.2,0.5,1.6,1.2,2.2,53.6
309,Karl-Anthony Towns,NYK,63,35.0,41,22,1.0,0.7,9.9,4.2,6.0,69.3
310,Karlo Matković,NOP,33,17.8,10,23,0.5,1.0,3.1,2.4,4.1,59.0
311,Kawhi Leonard,LAC,28,30.6,17,11,1.5,0.5,4.6,1.6,2.2,73.8
312,Keaton Wallace,ATL,27,16.7,12,15,0.8,0.3,1.1,0.8,1.1,73.3
313,Keegan Murray,SAC,66,34.7,32,34,0.8,0.8,4.8,2.4,4.0,59.3
314,Keion Brooks Jr.,NOP,4,13.1,0,4,0.0,0.8,2.0,1.3,2.3,55.6
315,Kel'el Ware,MIA,52,21.2,21,31,0.6,1.1,5.1,2.8,4.6,61.6
316,Keldon Johnson,SAS,67,23.7,29,38,0.7,0.3,3.3,1.7,2.4,69.6
317,Kelly Olynyk,NOP,37,19.4,10,27,0.7,0.4,3.2,2.0,3.1,62.9
318,Kelly Oubre Jr.,PHI,60,34.6,21,39,1.5,0.5,4.5,2.9,4.2,69.5
319,Kenrich Williams,OKC,57,15.4,48,9,0.6,0.1,2.4,0.8,1.1,69.2
320,Kentavious Caldwell-Pope,ORL,66,30.1,30,36,1.3,0.5,1.7,1.1,1.5,75.0
321,Keon Ellis,SAC,67,23.3,33,34,1.4,0.7,1.8,1.5,2.1,69.4
322,Keon Johnson,BKN,68,24.1,23,45,1.1,0.4,2.9,2.0,2.7,72.7
323,Keshad Johnson,MIA,10,5.7,5,5,0.1,0.4,1.5,0.8,1.4,57.1
324,Kessler Edwards,DAL,39,15.1,17,22,0.5,0.5,2.3,2.0,3.2,63.2
325,Kevin Durant,PHX,58,36.9,32,26,0.8,1.2,5.7,1.9,3.1,61.5
326,Kevin Huerter,CHI,58,23.4,29,29,1.0,0.4,2.6,1.3,2.0,65.0
327,Kevin Knox II,GSW,7,7.3,6,1,0.1,0.6,0.7,0.3,0.7,40.0
328,Kevin Love,MIA,23,10.9,13,10,0.7,0.2,3.1,1.5,2.2,66.7
329,Kevin Porter Jr.,MIL,62,18.5,36,26,1.0,0.2,2.9,1.1,1.7,68.0
330,Kevon Looney,GSW,63,15.3,37,26,0.7,0.5,3.7,1.5,2.6,55.8
331,Keyonte George,UTA,56,31.3,12,44,0.7,0.2,3.4,2.0,2.5,81.4
332,Khris Middleton,WAS,34,23.0,17,17,0.9,0.2,3.5,1.3,1.9,71.4
333,Killian Hayes,BKN,6,27.1,1,5,0.7,0.7,2.2,2.0,2.8,70.6
334,Klay Thompson,DAL,62,27.8,28,34,0.7,0.5,2.9,1.2,1.8,63.7
335,Kobe Brown,LAC,32,6.0,18,14,0.2,0.0,1.0,0.4,0.5,75.0
336,Kobe Bufkin,ATL,10,12.4,6,4,0.3,0.2,1.6,0.7,1.1,63.6
337,Kris Dunn,LAC,63,23.8,35,28,1.8,0.4,2.7,1.2,1.7,70.1
338,Kris Murray,POR,60,14.3,27,33,0.5,0.2,1.4,1.0,1.7,60.0
339,Kristaps Porziņģis,BOS,35,28.9,23,12,0.8,1.6,5.3,3.5,6.7,51.7
340,Kyle Anderson,MIA,50,14.9,23,27,0.6,0.5,2.3,1.2,1.8,66.7
341,Kyle Filipowski,UTA,61,19.8,12,49,0.6,0.2,4.2,2.8,4.0,69.6
342,Kyle Kuzma,MIL,52,29.7,17,35,0.6,0.2,5.3,1.4,2.2,64.3
343,Kyle Lowry,PHI,33,18.9,14,19,0.9,0.3,1.6,1.5,2.1,70.6
344,Kylor Kelley,DAL,8,8.3,3,5,0.0,0.3,1.6,1.9,2.6,71.4
345,Kyrie Irving,DAL,50,36.1,28,22,1.3,0.5,3.6,2.0,2.7,75.9
346,Kyshawn George,WAS,62,27.1,13,49,1.1,0.8,3.5,2.3,3.4,66.4
347,LaMelo Ball,CHA,46,32.1,16,30,1.2,0.3,4.0,1.1,1.6,70.8
348,Lamar Stevens,MEM,9,10.8,4,5,0.4,0.3,2.9,0.4,1.1,40.0
349,Landry Shamet,NYK,38,13.1,23,15,0.5,0.1,0.9,0.6,1.0,59.0
350,Larry Nance Jr.,ATL,24,19.3,10,14,0.8,0.5,3.3,1.4,2.2,64.2
351,Lauri Markkanen,UTA,46,31.4,9,37,0.7,0.3,4.4,1.8,2.9,62.7
352,LeBron James,LAL,58,34.8,37,21,0.9,0.6,7.1,1.9,2.8,67.1
353,Leonard Miller,MIN,10,2.7,8,2,0.2,0.1,0.8,0.3,0.3,100
354,Lester Quinones,NOP,4,4.2,1,3,0.0,0.0,0.3,0.3,0.5,50.0
355,Liam Robbins,MIL,13,4.4,8,5,0.2,0.2,0.4,0.2,0.3,50.0
356,Lindy Waters III,DET,46,14.9,25,21,0.5,0.2,1.8,0.8,1.2,69.1
357,Lonnie Walker IV,PHI,11,18.5,2,9,0.5,0.3,2.6,2.0,2.3,88.0
358,Lonzo Ball,CHI,35,22.2,16,19,1.3,0.5,2.7,1.4,2.3,61.7
359,Luguentz Dort,OKC,62,29.1,50,12,1.1,0.6,2.9,1.2,1.9,61.0
360,Luka Dončić,LAL,38,35.0,24,14,1.9,0.4,7.6,1.9,2.9,66.7
361,Luka Garza,MIN,34,6.2,24,10,0.2,0.1,0.6,0.9,1.4,65.2
