Player	Team	GP	MIN	W	L	STL	BLK	DREB	DFGM	DFGA	DFG%
Bilal Coulibaly	WAS	58	33.0	12	46	1.3	0.7	3.5	2.0	3.2	63.0
Bismack Biyombo	SAS	18	17.6	7	11	0.7	0.7	3.5	2.1	4.1	51.4
Blake Wesley	SAS	46	9.7	20	26	0.6	0.1	0.6	0.3	0.4	84.2
Bobby Portis	MIL	46	25.2	27	19	0.7	0.5	6.5	2.5	3.7	68.0
Bobi Klintman	DET	6	2.9	4	2	0.0	0.2	0.7	0.0	0.0	0.0
Bogdan Bogdanović	LAC	43	25.4	23	20	0.8	0.2	2.6	1.7	2.4	70.2
Bol Bol	PHX	32	13.3	10	22	0.3	0.8	2.6	0.9	1.4	60.9
Bones Hyland	MIN	21	10.4	10	11	0.8	0.2	0.8	0.4	0.7	60.0
Bradley Beal	PHX	48	32.2	21	27	1.0	0.5	2.7	2.3	3.0	77.1
Branden Carlson	OKC	21	6.6	19	2	0.2	0.5	1.2	0.9	1.3	64.3
Brandin Podziemski	GSW	53	25.8	31	22	1.1	0.2	3.9	1.2	1.8	67.4
Brandon Boston	NOP	42	23.6	8	34	1.3	0.2	2.5	1.5	1.9	81.3
Brandon Clarke	MEM	64	18.9	40	24	0.8	0.6	3.1	1.6	2.8	56.1
Brandon Ingram	TOR	18	33.1	5	13	0.9	0.6	4.6	2.4	3.5	69.8
Brandon Miller	CHA	27	34.2	8	19	1.1	0.7	3.9	2.1	3.6	58.3
Brandon Williams	DAL	27	13.6	11	16	0.6	0.1	1.3	1.2	1.7	73.3
Brice Sensabaugh	UTA	61	18.8	13	48	0.6	0.1	2.2	1.0	1.4	72.9
Bronny James	LAL	23	5.9	14	9	0.2	0.1	0.4	0.5	0.7	75.0
Brook Lopez	MIL	68	31.9	40	28	0.7	1.9	3.6	4.1	7.1	57.6
Bruce Brown	NOP	35	21.6	14	21	0.8	0.1	2.7	1.3	1.8	69.8
Bruno Fernando	TOR	17	8.6	2	15	0.2	0.5	1.8	0.9	1.5	61.5
Bryce McGowens	POR	13	2.5	8	5	0.1	0.0	0.1	0.2	0.2	100
Bub Carrington	WAS	69	29.3	14	55	0.7	0.2	3.6	1.3	1.7	75.7
Buddy Hield	GSW	69	23.0	40	29	0.8	0.3	2.7	1.7	2.4	70.7
CJ McCollum	NOP	55	32.8	17	38	0.8	0.4	3.0	1.7	2.2	77.5
Cade Cunningham	DET	65	35.1	37	28	1.0	0.7	5.4	2.2	3.7	58.8
Caleb Houstan	ORL	46	11.8	20	26	0.3	0.1	0.7	0.6	0.7	82.4
Caleb Martin	DAL	36	28.9	13	23	1.0	0.6	2.9	2.2	3.3	67.2
Cam Christie	LAC	7	5.0	5	2	0.4	0.0	0.7	0.1	0.1	100
Cam Reddish	LAL	33	17.9	15	18	1.0	0.3	1.5	1.1	1.5	73.5
Cam Spencer	MEM	18	10.6	10	8	0.3	0.1	0.9	0.9	1.0	94.4
Cam Thomas	BKN	24	31.3	8	16	0.6	0.1	2.8	2.7	3.3	83.3
Cam Whitmore	HOU	43	16.4	25	18	0.7	0.3	2.3	0.9	1.3	70.4
Cameron Johnson	BKN	54	32.0	20	34	1.0	0.5	3.4	2.0	3.0	68.3
Cameron Payne	NYK	64	14.6	42	22	0.5	0.2	1.2	0.7	0.9	73.3
Caris LeVert	ATL	53	24.8	41	12	0.9	0.5	2.5	1.7	2.3	71.0
Cason Wallace	OKC	60	27.4	49	11	1.7	0.6	2.4	1.4	2.1	66.7
Charles Bassey	SAS	34	10.7	14	20	0.4	0.9	2.8	1.9	3.0	62.4
Chet Holmgren	OKC	24	27.0	20	4	0.8	2.5	6.6	2.7	6.5	41.7
Chris Boucher	TOR	50	17.2	18	32	0.5	0.5	3.1	1.1	1.7	65.9
Chris Duarte	CHI	17	4.4	4	13	0.0	0.0	0.9	0.5	0.9	53.3
Chris Livingston	MIL	17	4.6	12	5	0.3	0.0	0.9	0.5	0.9	53.3
Chris Paul	SAS	70	28.1	31	39	1.3	0.2	3.2	1.5	1.9	80.5
Christian Braun	DEN	70	33.4	43	27	1.1	0.5	3.8	1.5	2.3	68.4
Christian Koloko	LAL	34	9.4	22	12	0.2	0.3	1.5	1.3	2.2	57.3
Chuma Okeke	PHI	6	23.1	1	5	0.7	0.3	3.2	2.0	3.0	66.7
Clint Capela	ATL	54	21.5	26	28	0.6	1.0	5.4	2.1	3.8	56.2
Coby White	CHI	63	33.2	26	37	1.0	0.2	3.2	1.9	2.5	75.9
Cody Martin	PHX	43	24.1	14	29	1.2	0.7	3.5	1.9	3.0	61.5
Cody Williams	UTA	47	21.0	9	38	0.4	0.3	1.7	1.7	2.3	74.3
Colby Jones	WAS	29	7.0	10	19	0.4	0.3	0.8	0.3	0.6	47.1
Cole Anthony	ORL	60	18.4	29	31	0.7	0.4	2.3	1.0	1.5	65.9
Cole Swider	DET	2	6.5	0	2	0.0	0.0	1.0	0.0	0.0	0.0
Colin Castleton	TOR	18	14.5	13	5	0.4	0.4	2.2	1.3	2.4	52.3
Collin Gillespie	PHX	22	9.6	10	12	0.3	0.1	1.1	0.8	1.2	65.4
Collin Sexton	UTA	55	28.0	13	42	0.7	0.1	1.8	1.1	1.5	74.1
Corey Kispert	WAS	60	26.2	13	47	0.4	0.2	2.4	1.6	2.1	74.4
Cory Joseph	ORL	40	10.2	18	22	0.5	0.1	0.8	0.8	1.0	78.9
Craig Porter Jr.	CLE	45	8.6	37	8	0.3	0.3	0.8	0.6	0.9	69.2
Cui Yongxi	BKN	5	2.1	2	3	0.0	0.0	0.4	0.4	0.4	100
D'Angelo Russell	BKN	53	25.7	25	28	1.0	0.4	2.4	1.8	2.5	69.6
D.J. Carton	TOR	4	8.3	1	3	0.5	0.0	1.0	0.5	0.8	66.7
DaQuan Jeffries	CHA	35	21.8	7	28	0.5	0.6	2.0	1.1	1.6	70.2
Daeqwon Plowden	ATL	2	16.4	1	1	0.0	0.0	1.0	1.0	2.0	50.0
Daishen Nix	MIN	3	4.4	3	0	0.0	0.0	1.3	0.3	0.3	100
Dalano Banton	POR	57	14.9	24	33	0.7	0.5	1.5	0.9	1.2	74.3
Dalen Terry	CHI	63	12.7	26	37	0.6	0.2	1.0	0.7	1.1	64.3
Dalton Knecht	LAL	66	20.5	40	26	0.4	0.1	2.5	1.5	1.9	75.8
Damian Lillard	MIL	57	36.1	32	25	1.2	0.2	4.1	1.7	2.2	79.7
Damion Baugh	CHA	10	25.7	0	10	1.4	0.1	2.5	1.9	2.3	82.6
Damion Lee	PHX	18	6.0	5	13	0.2	0.0	0.7	0.2	0.5	44.4
Daniel Gafford	DAL	51	21.9	26	25	0.4	1.9	4.1	2.8	6.0	47.4
Daniel Theis	NOP	38	16.3	10	28	0.5	0.5	3.2	1.8	2.9	59.8
Daniss Jenkins	DET	5	2.0	3	2	0.0	0.0	0.0	0.2	0.2	100
Danté Exum	DAL	18	19.1	6	12	0.7	0.2	1.4	1.1	1.7	66.7
Dario Šarić	DEN	15	13.5	7	8	0.5	0.1	2.3	2.1	2.9	72.7
Dariq Whitehead	BKN	10	5.9	3	7	0.3	0.1	0.5	0.4	0.5	80.0
Darius Garland	CLE	66	30.5	53	13	1.2	0.2	2.2	1.1	1.7	64.9
David Duke Jr.	SAS	4	4.4	0	4	0.0	0.0	0.8	0.5	1.0	50.0
David Roddy	HOU	30	12.5	9	21	0.5	0.3	2.2	1.2	1.9	64.3
Davion Mitchell	MIA	63	26.6	19	44	0.8	0.2	1.7	1.3	1.7	75.5
Day'Ron Sharpe	BKN	48	18.0	14	34	0.7	0.8	3.6	1.9	3.1	60.5
De'Aaron Fox	SAS	61	36.1	26	35	1.5	0.4	3.9	1.7	2.4	72.9
De'Andre Hunter	CLE	55	27.4	32	23	0.7	0.2	3.3	1.5	2.3	66.9
De'Anthony Melton	BKN	6	20.2	4	2	1.2	0.3	2.3	0.3	0.5	66.7
DeAndre Jordan	DEN	47	12.0	32	15	0.3	0.4	3.4	1.0	1.5	65.7
DeMar DeRozan	SAC	64	35.8	32	32	0.9	0.3	3.3	2.0	2.8	72.9
Dean Wade	CLE	51	21.3	42	9	0.7	0.4	3.6	1.6	2.9	57.5
Deandre Ayton	POR	40	30.1	17	23	0.8	1.0	7.1	1.9	3.6	53.5
Dejounte Murray	NOP	31	32.7	9	22	2.0	0.4	5.9	2.9	3.8	77.1
Delon Wright	NYK	31	13.7	16	15	0.8	0.3	1.1	0.7	1.1	69.7
Deni Avdija	POR	66	29.4	31	35	0.9	0.5	5.6	2.6	3.8	68.1
Dennis Schröder	DET	64	27.7	33	31	1.0	0.2	2.2	1.2	1.6	71.8
Dereck Lively II	DAL	32	24.0	19	13	0.5	1.7	4.8	2.9	5.3	54.4
