PLAYER	TEAM	GP	W	L	MIN	DREB	ContestedDreb	ContestedDREB%	DREBChances	DREBChance%	DeferredDREBChances	AdjustedDREBChance%	AVGDREBDistance
Andre Drummond	PHI	40	12	28	18.8	5.0	1.9	37.3	7.5	67.2	0.7	73.6	4.3
Andre Jackson Jr.	MIL	52	29	23	16.3	2.1	0.5	21.6	3.3	64.2	0.5	74.5	7.1
Andrew Nembhard	IND	49	33	16	29.8	2.9	0.3	10.0	5.0	56.7	0.5	62.5	8.3
Andrew Wiggins	MIA	53	24	29	31.0	3.0	0.9	29.8	5.6	53.8	0.5	59.6	6.7
Anfernee Simons	POR	63	28	35	33.0	2.5	0.4	16.4	4.6	55.0	0.4	59.8	9.6
Anthony Black	ORL	61	29	32	23.9	2.3	0.3	12.7	3.9	60.4	0.4	67.9	7.5
Anthony Davis	DAL	43	25	18	34.2	9.1	3.3	36.7	14.0	65.0	1.1	70.4	4.6
Anthony Edwards	MIN	68	40	28	36.3	5.1	1.0	20.2	7.5	68.0	0.4	72.1	7.2
Anthony Gill	WAS	20	1	19	11.5	1.8	0.4	22.2	3.0	61.0	0.3	67.9	7.5
Anton Watson	NYK	2	1	1	2.3	0.5	0.0	0.0	0.5	100	0.0	100	11.9
Antonio Reeves	NOP	18	1	17	14.0	1.2	0.3	22.7	2.5	48.9	0.2	52.4	7.7
Ariel Hukporti	NYK	20	14	6	10.2	1.9	0.6	29.7	3.0	61.7	0.4	71.2	4.4
Armel Traoré	LAL	7	3	4	8.1	1.9	0.4	23.1	3.0	61.9	0.1	65.0	4.1
Ausar Thompson	DET	49	30	19	21.4	3.0	0.8	26.8	4.8	63.4	0.4	68.7	6.5
Austin Reaves	LAL	58	37	21	34.9	3.8	0.7	17.9	6.8	56.5	0.7	62.8	9.7
Ayo Dosunmu	CHI	45	17	28	30.2	3.0	0.4	12.6	4.9	61.1	0.5	67.5	9.5
Bam Adebayo	MIA	68	30	38	34.4	7.3	2.2	30.2	11.3	64.4	1.0	70.4	5.7
Baylor Scheierman	BOS	14	14	0	11.1	1.8	0.4	20.0	2.6	69.4	0.3	78.1	6.8
Ben Sheppard	IND	51	33	18	20.7	2.3	0.5	21.0	3.9	60.4	0.5	69.2	7.8
Ben Simmons	LAC	43	19	24	23.3	4.0	0.8	20.3	6.1	65.9	0.4	71.1	6.6
Bennedict Mathurin	IND	62	37	25	30.1	4.3	0.7	15.8	6.9	62.4	0.7	69.6	7.7
Bilal Coulibaly	WAS	58	12	46	33.0	3.5	0.8	22.9	5.8	59.3	0.5	64.8	7.5
Bismack Biyombo	SAS	17	7	10	18.6	3.7	1.2	31.7	6.9	53.4	0.5	57.3	5.3
Blake Wesley	SAS	22	12	10	13.4	1.3	0.2	14.3	1.9	68.3	0.1	73.7	7.2
Bobby Portis	MIL	46	27	19	25.2	6.5	1.3	20.3	9.7	67.6	0.8	73.5	4.9
Bobi Klintman	DET	3	2	1	3.7	1.3	0.3	25.0	1.7	80.0	0.0	80.0	5.5
Bogdan Bogdanović	LAC	38	20	18	25.8	2.9	0.5	17.1	4.9	59.7	0.6	67.7	7.6
Bol Bol	PHX	29	10	19	13.9	2.9	0.6	21.7	4.2	68.0	0.2	70.9	5.8
Bones Hyland	MIN	14	6	8	11.1	1.2	0.1	5.9	1.6	77.3	0.0	77.3	11.4
